Year,Month,Day,Global-mean of ERA5 two-metre temperature (deg C) averaged from hour 0 to hour 23,Global-mean temperature increase (deg C) above 1850-1900 reference level
1940,1,1,11.718,0.16
1940,1,2,11.662,0.113
1940,1,3,11.664,0.123
1940,1,4,11.676,0.143
1940,1,5,11.6,0.075
1940,1,6,11.518,0.001
1940,1,7,11.495,-0.014
1940,1,8,11.455,-0.048
1940,1,9,11.349,-0.146
1940,1,10,11.354,-0.136
1940,1,11,11.409,-0.077
1940,1,12,11.457,-0.025
1940,1,13,11.573,0.095
1940,1,14,11.592,0.115
1940,1,15,11.517,0.042
1940,1,16,11.472,-0.001
1940,1,17,11.481,0.009
1940,1,18,11.527,0.055
1940,1,19,11.518,0.046
1940,1,20,11.518,0.046
1940,1,21,11.488,0.016
1940,1,22,11.477,0.002
1940,1,23,11.459,-0.02
1940,1,24,11.389,-0.094
1940,1,25,11.345,-0.144
1940,1,26,11.375,-0.118
1940,1,27,11.423,-0.075
1940,1,28,11.451,-0.052
1940,1,29,11.439,-0.07
1940,1,30,11.497,-0.019
1940,1,31,11.497,-0.029
1940,2,1,11.502,-0.034
1940,2,2,11.501,-0.046
1940,2,3,11.448,-0.109
1940,2,4,11.512,-0.057
1940,2,5,11.581,0
1940,2,6,11.612,0.018
1940,2,7,11.63,0.023
1940,2,8,11.665,0.045
1940,2,9,11.622,-0.013
1940,2,10,11.645,-0.005
1940,2,11,11.701,0.037
1940,2,12,11.713,0.035
1940,2,13,11.705,0.012
1940,2,14,11.761,0.054
1940,2,15,11.794,0.072
1940,2,16,11.864,0.126
1940,2,17,11.976,0.222
1940,2,18,12.088,0.316
1940,2,19,12.113,0.323
1940,2,20,12.107,0.298
1940,2,21,12.102,0.274
1940,2,22,12.105,0.258
1940,2,23,12.099,0.233
1940,2,24,12.134,0.248
1940,2,25,12.208,0.301
1940,2,26,12.247,0.318
1940,2,27,12.249,0.297
1940,2,28,12.282,0.306
1940,2,29,12.321,0.322
1940,3,1,12.321,0.298
1940,3,2,12.287,0.24
1940,3,3,12.326,0.256
1940,3,4,12.351,0.257
1940,3,5,12.413,0.294
1940,3,6,12.451,0.306
1940,3,7,12.439,0.269
1940,3,8,12.434,0.239
1940,3,9,12.4,0.18
1940,3,10,12.343,0.096
1940,3,11,12.286,0.013
1940,3,12,12.256,-0.044
1940,3,13,12.256,-0.073
1940,3,14,12.297,-0.062
1940,3,15,12.419,0.03
1940,3,16,12.552,0.131
1940,3,17,12.624,0.172
1940,3,18,12.627,0.143
1940,3,19,12.61,0.096
1940,3,20,12.59,0.046
1940,3,21,12.597,0.022
1940,3,22,12.578,-0.028
1940,3,23,12.566,-0.07
1940,3,24,12.55,-0.117
1940,3,25,12.554,-0.144
1940,3,26,12.617,-0.111
1940,3,27,12.724,-0.033
1940,3,28,12.842,0.054
1940,3,29,12.964,0.146
1940,3,30,12.966,0.116
1940,3,31,13.003,0.122
1940,4,1,13.108,0.194
1940,4,2,13.19,0.244
1940,4,3,13.273,0.294
1940,4,4,13.343,0.33
1940,4,5,13.383,0.336
1940,4,6,13.447,0.366
1940,4,7,13.559,0.443
1940,4,8,13.649,0.499
1940,4,9,13.618,0.432
1940,4,10,13.634,0.414
1940,4,11,13.622,0.367
1940,4,12,13.581,0.292
1940,4,13,13.609,0.287
1940,4,14,13.645,0.29
1940,4,15,13.751,0.363
1940,4,16,13.831,0.412
1940,4,17,13.888,0.437
1940,4,18,13.94,0.458
1940,4,19,13.96,0.445
1940,4,20,13.998,0.45
1940,4,21,13.992,0.411
1940,4,22,13.99,0.375
1940,4,23,13.984,0.335
1940,4,24,13.993,0.311
1940,4,25,13.995,0.28
1940,4,26,14.085,0.335
1940,4,27,14.154,0.37
1940,4,28,14.141,0.324
1940,4,29,14.168,0.318
1940,4,30,14.173,0.29
1940,5,1,14.216,0.299
1940,5,2,14.23,0.281
1940,5,3,14.236,0.257
1940,5,4,14.301,0.292
1940,5,5,14.295,0.257
1940,5,6,14.355,0.289
1940,5,7,14.454,0.36
1940,5,8,14.511,0.389
1940,5,9,14.577,0.426
1940,5,10,14.67,0.49
1940,5,11,14.626,0.415
1940,5,12,14.625,0.384
1940,5,13,14.612,0.342
1940,5,14,14.622,0.321
1940,5,15,14.705,0.374
1940,5,16,14.751,0.389
1940,5,17,14.821,0.428
1940,5,18,14.88,0.457
1940,5,19,14.972,0.518
1940,5,20,15.045,0.562
1940,5,21,15.045,0.532
1940,5,22,15.034,0.492
1940,5,23,15.058,0.488
1940,5,24,15.053,0.455
1940,5,25,15.045,0.418
1940,5,26,15.032,0.377
1940,5,27,15.009,0.327
1940,5,28,15.045,0.334
1940,5,29,15.097,0.359
1940,5,30,15.086,0.321
1940,5,31,15.1,0.309
1940,6,1,15.098,0.281
1940,6,2,15.005,0.162
1940,6,3,14.968,0.099
1940,6,4,15.008,0.114
1940,6,5,15.051,0.13
1940,6,6,15.083,0.137
1940,6,7,15.083,0.113
1940,6,8,15.035,0.041
1940,6,9,15.059,0.043
1940,6,10,15.14,0.102
1940,6,11,15.206,0.148
1940,6,12,15.273,0.196
1940,6,13,15.326,0.23
1940,6,14,15.336,0.221
1940,6,15,15.352,0.219
1940,6,16,15.323,0.173
1940,6,17,15.358,0.193
1940,6,18,15.383,0.201
1940,6,19,15.417,0.22
1940,6,20,15.366,0.154
1940,6,21,15.363,0.137
1940,6,22,15.421,0.181
1940,6,23,15.456,0.203
1940,6,24,15.524,0.259
1940,6,25,15.587,0.31
1940,6,26,15.627,0.339
1940,6,27,15.684,0.384
1940,6,28,15.679,0.368
1940,6,29,15.635,0.314
1940,6,30,15.593,0.261
1940,7,1,15.581,0.239
1940,7,2,15.625,0.274
1940,7,3,15.678,0.318
1940,7,4,15.762,0.393
1940,7,5,15.795,0.419
1940,7,6,15.806,0.423
1940,7,7,15.847,0.457
1940,7,8,15.867,0.472
1940,7,9,15.825,0.424
1940,7,10,15.817,0.41
1940,7,11,15.894,0.481
1940,7,12,15.925,0.506
1940,7,13,15.885,0.46
1940,7,14,15.803,0.372
1940,7,15,15.693,0.257
1940,7,16,15.679,0.238
1940,7,17,15.708,0.262
1940,7,18,15.675,0.225
1940,7,19,15.692,0.239
1940,7,20,15.744,0.287
1940,7,21,15.783,0.324
1940,7,22,15.798,0.336
1940,7,23,15.798,0.334
1940,7,24,15.789,0.324
1940,7,25,15.783,0.316
1940,7,26,15.802,0.334
1940,7,27,15.777,0.309
1940,7,28,15.775,0.308
1940,7,29,15.803,0.337
1940,7,30,15.872,0.407
1940,7,31,15.879,0.416
1940,8,1,15.856,0.395
1940,8,2,15.8,0.343
1940,8,3,15.725,0.271
1940,8,4,15.757,0.307
1940,8,5,15.797,0.353
1940,8,6,15.773,0.335
1940,8,7,15.702,0.27
1940,8,8,15.684,0.258
1940,8,9,15.665,0.246
1940,8,10,15.72,0.308
1940,8,11,15.771,0.367
1940,8,12,15.71,0.316
1940,8,13,15.684,0.3
1940,8,14,15.687,0.314
1940,8,15,15.718,0.357
1940,8,16,15.703,0.355
1940,8,17,15.598,0.264
1940,8,18,15.56,0.241
1940,8,19,15.539,0.236
1940,8,20,15.54,0.253
1940,8,21,15.547,0.277
1940,8,22,15.567,0.314
1940,8,23,15.53,0.296
1940,8,24,15.483,0.268
1940,8,25,15.509,0.313
1940,8,26,15.457,0.282
1940,8,27,15.449,0.293
1940,8,28,15.446,0.311
1940,8,29,15.374,0.26
1940,8,30,15.332,0.24
1940,8,31,15.309,0.239
1940,9,1,15.28,0.233
1940,9,2,15.295,0.271
1940,9,3,15.221,0.219
1940,9,4,15.149,0.17
1940,9,5,15.123,0.167
1940,9,6,15.042,0.11
1940,9,7,14.977,0.069
1940,9,8,14.935,0.052
1940,9,9,14.908,0.05
1940,9,10,14.861,0.028
1940,9,11,14.761,-0.046
1940,9,12,14.709,-0.072
1940,9,13,14.771,0.017
1940,9,14,14.873,0.147
1940,9,15,14.943,0.244
1940,9,16,14.958,0.286
1940,9,17,14.967,0.323
1940,9,18,14.964,0.347
1940,9,19,14.941,0.353
1940,9,20,14.882,0.323
1940,9,21,14.814,0.284
1940,9,22,14.725,0.225
1940,9,23,14.618,0.148
1940,9,24,14.559,0.119
1940,9,25,14.46,0.05
1940,9,26,14.369,-0.011
1940,9,27,14.35,0.002
1940,9,28,14.312,-0.004
1940,9,29,14.288,0.006
1940,9,30,14.291,0.042
1940,10,1,14.248,0.033
1940,10,2,14.177,-0.004
1940,10,3,14.12,-0.027
1940,10,4,14.122,0.01
1940,10,5,14.102,0.026
1940,10,6,14.136,0.096
1940,10,7,14.08,0.076
1940,10,8,14.007,0.041
1940,10,9,13.937,0.008
1940,10,10,13.91,0.019
1940,10,11,13.867,0.013
1940,10,12,13.864,0.048
1940,10,13,13.887,0.11
1940,10,14,13.812,0.074
1940,10,15,13.717,0.019
1940,10,16,13.592,-0.066
1940,10,17,13.53,-0.088
1940,10,18,13.438,-0.14
1940,10,19,13.366,-0.172
1940,10,20,13.373,-0.126
1940,10,21,13.389,-0.072
1940,10,22,13.358,-0.064
1940,10,23,13.329,-0.055
1940,10,24,13.319,-0.027
1940,10,25,13.2,-0.108
1940,10,26,13.142,-0.128
1940,10,27,13.14,-0.093
1940,10,28,13.16,-0.036
1940,10,29,13.144,-0.015
1940,10,30,13.101,-0.021
1940,10,31,13.057,-0.028
1940,11,1,13.008,-0.04
1940,11,2,12.911,-0.099
1940,11,3,12.827,-0.145
1940,11,4,12.782,-0.153
1940,11,5,12.748,-0.149
1940,11,6,12.7,-0.16
1940,11,7,12.683,-0.14
1940,11,8,12.654,-0.133
1940,11,9,12.616,-0.135
1940,11,10,12.615,-0.099
1940,11,11,12.559,-0.12
1940,11,12,12.502,-0.14
1940,11,13,12.472,-0.134
1940,11,14,12.517,-0.055
1940,11,15,12.559,0.021
1940,11,16,12.624,0.12
1940,11,17,12.653,0.182
1940,11,18,12.695,0.256
1940,11,19,12.706,0.298
1940,11,20,12.69,0.313
1940,11,21,12.666,0.321
1940,11,22,12.601,0.287
1940,11,23,12.583,0.3
1940,11,24,12.565,0.313
1940,11,25,12.484,0.263
1940,11,26,12.432,0.241
1940,11,27,12.424,0.262
1940,11,28,12.395,0.26
1940,11,29,12.364,0.256
1940,11,30,12.295,0.213
1940,12,1,12.235,0.178
1940,12,2,12.179,0.147
1940,12,3,12.216,0.208
1940,12,4,12.205,0.219
1940,12,5,12.228,0.265
1940,12,6,12.254,0.312
1940,12,7,12.258,0.337
1940,12,8,12.229,0.328
1940,12,9,12.195,0.314
1940,12,10,12.156,0.295
1940,12,11,12.083,0.24
1940,12,12,12.006,0.183
1940,12,13,11.949,0.144
1940,12,14,11.883,0.095
1940,12,15,11.881,0.108
1940,12,16,11.865,0.108
1940,12,17,11.832,0.09
1940,12,18,11.855,0.126
1940,12,19,11.882,0.166
1940,12,20,11.926,0.224
1940,12,21,11.99,0.3
1940,12,22,12.048,0.37
1940,12,23,12.098,0.432
1940,12,24,12.091,0.438
1940,12,25,12.131,0.49
1940,12,26,12.189,0.56
1940,12,27,12.172,0.555
1940,12,28,12.087,0.481
1940,12,29,12.015,0.419
1940,12,30,11.976,0.391
1940,12,31,11.919,0.344
1941,1,1,11.816,0.275
1941,1,2,11.808,0.275
1941,1,3,11.784,0.258
1941,1,4,11.714,0.194
1941,1,5,11.631,0.119
1941,1,6,11.712,0.207
1941,1,7,11.76,0.261
1941,1,8,11.807,0.314
1941,1,9,11.799,0.311
1941,1,10,11.838,0.354
1941,1,11,11.851,0.37
1941,1,12,11.81,0.332
1941,1,13,11.818,0.341
1941,1,14,11.792,0.316
1941,1,15,11.746,0.271
1941,1,16,11.737,0.264
1941,1,17,11.763,0.29
1941,1,18,11.744,0.27
1941,1,19,11.678,0.203
1941,1,20,11.711,0.235
1941,1,21,11.714,0.236
1941,1,22,11.745,0.263
1941,1,23,11.754,0.267
1941,1,24,11.697,0.204
1941,1,25,11.725,0.226
1941,1,26,11.761,0.255
1941,1,27,11.747,0.234
1941,1,28,11.76,0.24
1941,1,29,11.779,0.252
1941,1,30,11.788,0.252
1941,1,31,11.799,0.253
1941,2,1,11.791,0.234
1941,2,2,11.833,0.266
1941,2,3,11.879,0.3
1941,2,4,11.907,0.317
1941,2,5,11.903,0.301
1941,2,6,11.872,0.257
1941,2,7,11.855,0.227
1941,2,8,11.888,0.246
1941,2,9,11.908,0.25
1941,2,10,11.951,0.278
1941,2,11,12.08,0.391
1941,2,12,12.181,0.477
1941,2,13,12.257,0.538
1941,2,14,12.34,0.605
1941,2,15,12.392,0.641
1941,2,16,12.448,0.68
1941,2,17,12.542,0.757
1941,2,18,12.523,0.72
1941,2,19,12.484,0.663
1941,2,20,12.523,0.683
1941,2,21,12.521,0.662
1941,2,22,12.413,0.536
1941,2,23,12.345,0.449
1941,2,24,12.292,0.375
1941,2,25,12.263,0.326
1941,2,26,12.253,0.294
1941,2,27,12.278,0.296
1941,2,28,12.295,0.291
1941,3,1,12.282,0.254
1941,3,2,12.278,0.227
1941,3,3,12.261,0.186
1941,3,4,12.265,0.166
1941,3,5,12.288,0.165
1941,3,6,12.365,0.216
1941,3,7,12.468,0.294
1941,3,8,12.555,0.354
1941,3,9,12.552,0.326
1941,3,10,12.512,0.26
1941,3,11,12.502,0.223
1941,3,12,12.522,0.216
1941,3,13,12.586,0.253
1941,3,14,12.676,0.314
1941,3,15,12.737,0.345
1941,3,16,12.802,0.38
1941,3,17,12.745,0.291
1941,3,18,12.766,0.281
1941,3,19,12.87,0.353
1941,3,20,12.874,0.326
1941,3,21,12.827,0.249
1941,3,22,12.833,0.224
1941,3,23,12.828,0.189
1941,3,24,12.892,0.222
1941,3,25,13.005,0.304
1941,3,26,13.006,0.274
1941,3,27,13.039,0.277
1941,3,28,13.035,0.242
1941,3,29,13.023,0.199
1941,3,30,13.048,0.192
1941,3,31,13.11,0.223
1941,4,1,13.142,0.222
1941,4,2,13.131,0.179
1941,4,3,13.105,0.12
1941,4,4,13.151,0.133
1941,4,5,13.168,0.116
1941,4,6,13.13,0.045
1941,4,7,13.156,0.035
1941,4,8,13.22,0.064
1941,4,9,13.245,0.055
1941,4,10,13.294,0.069
1941,4,11,13.352,0.092
1941,4,12,13.387,0.092
1941,4,13,13.437,0.108
1941,4,14,13.542,0.18
1941,4,15,13.602,0.207
1941,4,16,13.634,0.207
1941,4,17,13.574,0.114
1941,4,18,13.57,0.079
1941,4,19,13.673,0.15
1941,4,20,13.752,0.196
1941,4,21,13.75,0.16
1941,4,22,13.748,0.125
1941,4,23,13.841,0.184
1941,4,24,13.885,0.196
1941,4,25,13.926,0.203
1941,4,26,13.953,0.196
1941,4,27,13.978,0.188
1941,4,28,13.984,0.16
1941,4,29,14.118,0.261
1941,4,30,14.197,0.308
1941,5,1,14.243,0.321
1941,5,2,14.295,0.341
1941,5,3,14.301,0.316
1941,5,4,14.259,0.244
1941,5,5,14.258,0.213
1941,5,6,14.256,0.182
1941,5,7,14.309,0.207
1941,5,8,14.329,0.198
1941,5,9,14.339,0.181
1941,5,10,14.375,0.187
1941,5,11,14.43,0.214
1941,5,12,14.475,0.23
1941,5,13,14.528,0.253
1941,5,14,14.655,0.35
1941,5,15,14.709,0.376
1941,5,16,14.768,0.405
1941,5,17,14.785,0.392
1941,5,18,14.725,0.302
1941,5,19,14.673,0.22
1941,5,20,14.729,0.246
1941,5,21,14.853,0.342
1941,5,22,14.931,0.39
1941,5,23,14.941,0.372
1941,5,24,14.935,0.338
1941,5,25,14.915,0.29
1941,5,26,14.935,0.282
1941,5,27,14.968,0.288
1941,5,28,15.023,0.316
1941,5,29,15.076,0.341
1941,5,30,15.091,0.329
1941,5,31,15.174,0.385
1941,6,1,15.296,0.481
1941,6,2,15.375,0.534
1941,6,3,15.375,0.509
1941,6,4,15.4,0.509
1941,6,5,15.433,0.517
1941,6,6,15.431,0.489
1941,6,7,15.405,0.439
1941,6,8,15.424,0.434
1941,6,9,15.409,0.397
1941,6,10,15.433,0.4
1941,6,11,15.529,0.475
1941,6,12,15.573,0.498
1941,6,13,15.545,0.451
1941,6,14,15.503,0.39
1941,6,15,15.45,0.318
1941,6,16,15.413,0.264
1941,6,17,15.416,0.251
1941,6,18,15.444,0.262
1941,6,19,15.46,0.263
1941,6,20,15.509,0.297
1941,6,21,15.566,0.34
1941,6,22,15.594,0.354
1941,6,23,15.649,0.396
1941,6,24,15.641,0.376
1941,6,25,15.566,0.289
1941,6,26,15.579,0.291
1941,6,27,15.598,0.299
1941,6,28,15.58,0.27
1941,6,29,15.545,0.224
1941,6,30,15.562,0.232
1941,7,1,15.598,0.259
1941,7,2,15.604,0.255
1941,7,3,15.593,0.236
1941,7,4,15.542,0.177
1941,7,5,15.507,0.134
1941,7,6,15.509,0.128
1941,7,7,15.584,0.197
1941,7,8,15.646,0.253
1941,7,9,15.741,0.343
1941,7,10,15.781,0.376
1941,7,11,15.753,0.344
1941,7,12,15.694,0.279
1941,7,13,15.699,0.278
1941,7,14,15.699,0.273
1941,7,15,15.668,0.237
1941,7,16,15.626,0.191
1941,7,17,15.631,0.192
1941,7,18,15.65,0.207
1941,7,19,15.635,0.188
1941,7,20,15.667,0.216
1941,7,21,15.736,0.283
1941,7,22,15.748,0.292
1941,7,23,15.771,0.313
1941,7,24,15.789,0.329
1941,7,25,15.765,0.305
1941,7,26,15.724,0.263
1941,7,27,15.71,0.249
1941,7,28,15.741,0.28
1941,7,29,15.81,0.35
1941,7,30,15.818,0.361
1941,7,31,15.828,0.372
1941,8,1,15.865,0.411
1941,8,2,15.832,0.381
1941,8,3,15.843,0.396
1941,8,4,15.853,0.411
1941,8,5,15.834,0.398
1941,8,6,15.848,0.417
1941,8,7,15.842,0.418
1941,8,8,15.893,0.475
1941,8,9,15.948,0.537
1941,8,10,15.923,0.519
1941,8,11,15.863,0.467
1941,8,12,15.843,0.457
1941,8,13,15.745,0.369
1941,8,14,15.645,0.28
1941,8,15,15.616,0.263
1941,8,16,15.636,0.296
1941,8,17,15.624,0.298
1941,8,18,15.571,0.261
1941,8,19,15.53,0.236
1941,8,20,15.493,0.215
1941,8,21,15.476,0.214
1941,8,22,15.453,0.209
1941,8,23,15.409,0.184
1941,8,24,15.381,0.174
1941,8,25,15.429,0.241
1941,8,26,15.472,0.303
1941,8,27,15.45,0.301
1941,8,28,15.4,0.272
1941,8,29,15.377,0.27
1941,8,30,15.325,0.24
1941,8,31,15.329,0.267
1941,9,1,15.315,0.276
1941,9,2,15.284,0.268
1941,9,3,15.213,0.22
1941,9,4,15.15,0.181
1941,9,5,15.099,0.154
1941,9,6,15.048,0.127
1941,9,7,14.933,0.036
1941,9,8,14.781,-0.09
1941,9,9,14.702,-0.144
1941,9,10,14.677,-0.142
1941,9,11,14.659,-0.134
